CARD_NO,MEMBER_NO,CARD_CODE,CARD_PASSWORD,VALID_DATE,CVC_NO,,
1111-1111-1111-1111,Z0013222301ST,,,,,,
1111-1111-1111-1112,Z0013257851ST,,,,,,
1111-1111-1111-1113,Z0014223561ST,,,,,,
1111-1111-1111-1114,Z0014237071ST,,,,,,
1111-1111-1111-1115,Z0014242601ST,,,,,,
1111-1111-1111-1116,Z0014249961ST,,,,,,
1111-1111-1111-1117,Z0014282521ST,,,,,,
1111-1111-1111-1118,Z0014293271ST,,,,,,
1111-1111-1111-1119,Z0014299391ST,,,,,,
1111-1111-1111-1120,Z0023287541ST,,,,,,
1111-1111-1111-1121,Z0024224741ST,,,,,,
1111-1111-1111-1122,Z0024231961ST,,,,,,
1111-1111-1111-1123,Z0024248271ST,,,,,,
1111-1111-1111-1124,Z0024260391ST,,,,,,
1111-1111-1111-1125,Z0024285931ST,,,,,,
1111-1111-1111-1126,Z0034248591ST,,,,,,
1111-1111-1111-1127,Z0034260971ST,,,,,,
1111-1111-1111-1128,Z0034289451ST,,,,,,
1111-1111-1111-1129,Z0043211871ST,,,,,,
1111-1111-1111-1130,Z0043224101ST,,,,,,
1111-1111-1111-1131,Z0043290391ST,,,,,,
1111-1111-1111-1132,Z0043290971ST,,,,,,
1111-1111-1111-1133,Z0053217081ST,,,,,,
1111-1111-1111-1134,Z0053259081ST,,,,,,
1111-1111-1111-1135,Z0063221411ST,,,,,,
1111-1111-1111-1136,Z0073229231ST,,,,,,
1111-1111-1111-1137,Z0073229831ST,,,,,,
1111-1111-1111-1138,Z0073252821ST,,,,,,
1111-1111-1111-1139,Z0073277961ST,,,,,,
1111-1111-1111-1140,Z0113214941ST,,,,,,
1111-1111-1111-1141,Z0113260931ST,,,,,,
1111-1111-1111-1142,Z0113281321ST,,,,,,
1111-1111-1111-1143,Z0114240461ST,,,,,,
1111-1111-1111-1144,Z0114253191ST,,,,,,
1111-1111-1111-1145,Z0114278611ST,,,,,,
1111-1111-1111-1146,Z0123260731ST,,,,,,
1111-1111-1111-1147,Z0124246371ST,,,,,,
1111-1111-1111-1148,Z0124292441ST,,,,,,
1111-1111-1111-1149,Z0124298171ST,,,,,,
1111-1111-1111-1150,Z0133284201ST,,,,,,
1111-1111-1111-1151,Z0134241631ST,,,,,,
1111-1111-1111-1152,Z0134251911ST,,,,,,
1111-1111-1111-1153,Z0143281671ST,,,,,,
1111-1111-1111-1154,Z0144291421ST,,,,,,
1111-1111-1111-1155,Z0153214731ST,,,,,,
1111-1111-1111-1156,Z0153231061ST,,,,,,
1111-1111-1111-1157,Z0154229521ST,,,,,,
1111-1111-1111-1158,Z0154230921ST,,,,,,
1111-1111-1111-1159,Z0154239321ST,,,,,,
1111-1111-1111-1160,Z0154243851ST,,,,,,
1111-1111-1111-1161,Z0154246491ST,,,,,,
1111-1111-1111-1162,Z0154250751ST,,,,,,
1111-1111-1111-1163,Z0154251591ST,,,,,,
1111-1111-1111-1164,Z0154258861ST,,,,,,
1111-1111-1111-1165,Z0154264131ST,,,,,,
1111-1111-1111-1166,Z0154286221ST,,,,,,
1111-1111-1111-1167,Z0163215841ST,,,,,,
1111-1111-1111-1168,Z0163243591ST,,,,,,
1111-1111-1111-1169,Z0163249831ST,,,,,,
1111-1111-1111-1170,Z0173228361ST,,,,,,
1111-1111-1111-1171,Z0173294641ST,,,,,,
1111-1111-1111-1172,Z0204210991ST,,,,,,
1111-1111-1111-1173,Z0213210941ST,,,,,,
1111-1111-1111-1174,Z0213219211ST,,,,,,
1111-1111-1111-1175,Z0214259981ST,,,,,,
1111-1111-1111-1176,Z0224282721ST,,,,,,
1111-1111-1111-1177,Z0233287551ST,,,,,,
1111-1111-1111-1178,Z0233292071ST,,,,,,
1111-1111-1111-1179,Z0234220591ST,,,,,,
1111-1111-1111-1180,Z0234242161ST,,,,,,
