,index,MEMBER_NO,ID,PW,NAME,MOBILE_NO,RRN,BIRTHDAY,AGE,GENDER,ISNATIVE,ADDRESS,ADDRESS_DETAIL
0,1,Z9614216021ST,jinu50@yuhanhoesa.com632,361101,장성현,070-8654-5280,760389-2369131,1960-06-26,66,F,N,경기도 부여군,반포대가 (채원김동)
1,2,Z8753275351ST,gangseonghun@hotmail.com177,707180,강순자,062-565-2938,730491-1632186,1931-04-20,80,F,N,부산광역시 강북구,오금336로 (민재김손마을)
2,3,Z1553242741ST,gimsanghun@yu.com401,111523,이준서,052-255-4629,620180-1654518,1996-10-23,29,M,N,광주광역시 노원구,양재천15로
3,4,Z0914229761ST,kmun@live.com43,471767,박미숙,032-650-7767,674116-2197908,1999-06-09,21,F,N,광주광역시 서구,서초중앙거리
4,5,Z0034289451ST,hyeonjuryu@seogim.kr0,806074,김은주,061-652-3398,661736-1982308,1993-11-05,28,F,N,세종특별자치시 중구,석촌호수길
5,6,Z8813243211ST,ogjabag@hotmail.com590,674981,장도윤,032-966-6880,965046-1174438,1946-09-08,66,M,N,경기도 인제군,양재천056로
6,7,Z9534240551ST,fgim@yu.net255,450421,최지후,051-573-9201,894426-1144820,1947-01-22,73,M,N,울산광역시 서초구,압구정98길
7,8,Z8043277041ST,hansanghyeon@jusighoesa.org685,519572,장서현,055-993-4234,779864-1767239,1936-12-22,76,F,N,충청북도 부천시,역삼8거리 (예준이배리)
8,9,Z5334225241ST,junhyeogbag@dreamwiz.com873,363246,이채원,064-739-8536,898190-1507040,1979-12-30,46,M,N,경상북도 증평군,오금11로
9,10,Z7534288051ST,junseo82@inaha.kr133,105316,윤채원,062-442-1231,941516-1494792,1957-06-29,72,M,N,전라북도 부천시,학동68길
10,11,Z4914242721ST,seonyeonggang@yuhanhoesa.com166,986375,이종수,063-566-2004,743787-1143623,1978-07-14,49,M,N,광주광역시 강남구,언주9길
11,12,Z4514266821ST,eunji09@live.com1,345101,박보람,063-051-8116,617737-1209136,1972-11-26,46,M,N,경기도 제천시,논현441로
12,13,Z5763244541ST,gangjieun@hotmail.com356,203357,이승현,054-759-4791,785800-2171409,1961-03-21,52,M,N,부산광역시 북구,강남대1길 (정호송류동)
13,14,Z9714210841ST,zi@gimjang.net819,664832,조중수,044-961-0192,836726-1678617,1959-11-27,70,M,N,부산광역시 동구,수지구 테헤란22로 (영희서마을)
14,15,Z8714254191ST,coejaeho@jobagcoe.org624,919035,박현준,063-497-0291,685934-1424847,1933-12-16,72,M,N,광주광역시 관악구,양재천가
15,16,Z1363237381ST,areumhwang@dreamwiz.com454,884556,노예원,032-501-3719,684735-2209729,1997-08-16,28,M,N,대전광역시 북구,봉은사가 (지원손박읍)
16,17,Z1824221751ST,yunogja@daum.net20,956834,홍상호,010-7044-3865,812647-1901828,1982-11-15,39,F,N,제주특별자치도 오산시,양재천390길
17,18,Z0714219871ST,coejeongsu@bagi.org494,204351,박현정,062-539-1965,657088-1516069,1992-01-07,23,F,N,세종특별자치시 중구,도산대590가
18,19,Z7504241561ST,gimseunghyeon@naver.com493,407085,김정웅,062-019-7068,711644-2301273,1963-05-18,54,F,N,대전광역시 금천구,양재천326가
19,20,Z2024221021ST,jihyeoni@yuhanhoesa.org536,157198,안은정,061-416-1460,990321-1558029,1986-09-17,36,M,N,충청북도 공주시,오정구 압구정623거리
20,21,Z5963267301ST,jiuan@ju.org917,918498,박윤서,041-879-4937,650089-1747613,1962-07-25,50,F,N,전라북도 천안시,압구정거리 (성현김면)
21,22,Z2514218581ST,icaeweon@jusighoesa.com342,270335,김현우,054-442-0058,668208-1982679,1983-10-13,31,F,N,제주특별자치도 의왕시,학동026길
22,23,Z0144291421ST,boramgim@nate.com629,546534,김상훈,054-564-7373,825671-1648337,1997-01-17,21,F,N,충청북도 서천군,테헤란8거리 (하윤김읍)
23,24,Z2634212351ST,gimgyeonghyi@songbaggim.com140,263872,오예준,051-979-4922,839218-1518006,1988-05-15,33,M,N,경기도 안산시,잠실길 (도윤송최읍)
24,25,Z1933232041ST,sbag@jusighoesa.kr474,753585,차옥자,064-761-9588,870835-1443631,1981-07-23,34,M,N,인천광역시 남구,장안구 개포길 (서영이리)
25,26,Z6604251511ST,hyeonjunbag@nate.com447,979225,김경희,044-531-3176,938942-2069450,1963-04-25,54,F,N,충청남도 수원시,영동대73가
26,27,Z2814291631ST,seongjin91@hotmail.com50,874172,문지민,063-345-0368,921594-2149778,1983-08-16,30,F,N,대전광역시 서초구,강남대5거리 (우진이안마을)
27,28,Z6524254401ST,yujin15@jusighoesa.com714,887910,박서준,043-798-1973,631199-1386581,1965-03-25,53,F,N,충청남도 청양군,잠실길 (지현이이동)
28,29,Z6423234811ST,jeongnam90@gmail.com26,233076,김민준,062-417-1007,985549-1904291,1965-01-11,56,M,N,제주특별자치도 철원군,백제고분로 (민준홍이리)
29,30,Z8553270991ST,seongsui@dreamwiz.com794,252399,황상철,018-731-5601,835241-1511404,1943-09-07,69,M,N,강원도 오산시,백제고분로 (지영김면)
30,31,Z2573242421ST,ki@yuhanhoesa.com116,196401,유경숙,02-1880-3191,885394-1754431,1982-06-28,33,F,N,세종특별자치시 은평구,양재천46로 (하은윤면)
31,32,Z0804298791ST,gimjunyeong@hangimbag.com729,979103,고영미,041-110-8466,854958-1728459,1997-06-03,24,F,N,대전광역시 중구,처인구 역삼가
32,33,Z7714222961ST,bagsujin@ju.kr707,187867,김선영,011-027-6414,791311-1278381,1958-05-17,70,M,N,충청남도 화천군,잠실732길
33,34,Z3644248631ST,bagseojun@daum.net156,225370,김중수,063-199-4813,853333-1437174,1977-03-29,43,F,N,경상북도 고양시,도산대654가
34,35,Z0334279171ST,gyeongsugim@hanmail.net814,168822,장유진,051-492-6360,680327-1936537,1991-07-15,26,M,N,전라북도 공주시,양재천로 (지우이면)
35,36,Z8363299901ST,jungsu81@jusighoesa.com215,550091,박현정,054-087-6039,699988-1881689,1945-04-06,67,M,N,부산광역시 강서구,기흥구 도산대로
36,37,Z5244219901ST,gimjunseo@jinjang.kr824,372837,김민재,011-649-2104,664468-1578630,1976-03-17,40,F,N,충청남도 안양시,서초중앙69가
37,38,Z8534289851ST,iseungmin@gmail.com56,593831,남미숙,070-8785-2944,983776-1198673,1946-09-16,72,F,N,충청남도 수원시,단원구 반포대가
38,39,Z5304216531ST,iyeongceol@yuhanhoesa.com347,640564,노도윤,052-844-6611,653055-2064432,1976-02-13,46,M,N,충청남도 화성시,잠실길 (민준오읍)
39,40,Z7363294921ST,yejigim@daum.net430,685292,임건우,051-595-8258,935086-1441685,1969-05-05,57,M,N,서울특별시 중랑구,백제고분길 (경희나면)
40,41,Z0423284591ST,yujinheo@gimyungim.kr817,522164,김은경,017-643-3457,870130-1736610,1997-06-26,26,F,N,대전광역시 은평구,논현9가
41,42,Z2644237091ST,ngim@hwanggimgim.com970,352972,김지영,033-935-0550,792733-2205527,1985-04-21,31,F,N,서울특별시 강남구,학동길
42,43,Z7924234781ST,seongho91@ju.kr186,425251,김중수,053-163-7166,877293-1457091,1952-06-10,68,M,N,충청북도 평택시,학동74가 (지훈장동)
43,44,Z4534288621ST,jiyeon78@mungim.kr974,435705,김지은,063-600-7525,663857-2207659,1979-02-11,48,F,N,울산광역시 송파구,가락가 (상호박김리)
44,45,Z5544279451ST,yangjongsu@hanmail.net519,353731,이영호,043-053-2544,944850-2001715,1967-05-11,57,M,N,세종특별자치시 동대문구,삼성6가
45,46,Z4514244251ST,subin17@gmail.com392,782153,윤지훈,054-291-6349,894766-2006474,1976-07-28,47,F,N,부산광역시 동대문구,석촌호수거리 (정자최마을)
46,47,Z4644276291ST,mjin@hanmail.net208,249066,지미정,061-455-9837,634906-1641089,1973-06-06,42,F,N,경상남도 아산시,단원구 영동대길 (상호김리)
47,48,Z8063252681ST,sunja77@bagigim.kr921,118756,장은영,061-502-4953,727186-2068111,1949-10-16,67,M,N,대전광역시 송파구,개포가 (경희안김읍)
